ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step
10,0,max_steps,1,0,0,2.863863764855535,2500,,,0.9950112350131176,0.1,1.6854266505106352e-05,0.010170336812734604,-0.05295901000499725,0.10438518226146698,0.0,7.863863764855481,1455,-4.999999999999671,0.0,0.0,0.0,0.001145545505942214
20,0,max_steps,1,0,0,4.745816490671718,2500,,,0.9900473578023296,0.1,0.002153002889826894,0.2779052257537842,-0.05295901000499725,57.59602355957031,0.0,9.74581649067162,1156,-4.999999999999671,0.0,0.0,0.0,0.001898326596268687
30,0,max_steps,1,0,0,0.20361425957210133,2500,,,0.98510824420837,0.1,0.003194432007148862,0.3380104899406433,-0.06077316030859947,65.0286865234375,0.0,5.203614259572042,1378,-4.999999999999671,0.0,0.0,0.0,8.144570382884054e-05
40,0,max_steps,1,0,0,-0.5848267836145103,2500,,,0.9801937706913741,0.1,0.0031901714392006397,0.3380109965801239,-0.06441526859998703,65.0286865234375,0.0,4.415173216385485,886,-4.999999999999671,0.0,0.0,0.0,-0.00023393071344580415
50,0,max_steps,1,0,0,5.530160009185087,2500,,,0.9753038143277888,0.1,0.00426564970985055,0.40948212146759033,-0.06477326899766922,71.76873779296875,0.0,10.530160009184883,1485,-4.999999999999671,0.0,0.0,0.0,0.0022120640036740347
60,0,max_steps,1,0,0,6.70701316539186,2500,,,0.9704382528072976,0.1,0.004291867837309837,0.40947404503822327,-0.0955251157283783,71.76873779296875,0.0,11.707013165391698,1538,-4.999999999999671,0.0,0.0,0.0,0.002682805266156744
70,0,max_steps,1,0,0,0.5380051931142712,2500,,,0.9655969644297613,0.1,0.006329052150249481,0.5224518179893494,-0.0955251157283783,47.200965881347656,0.0,5.538005193114085,950,-4.999999999999671,0.0,0.0,0.0,0.00021520207724570848
80,0,max_steps,1,0,0,10.74793849060571,2500,,,0.9607798281021742,0.1,0.00639421446248889,0.5224727392196655,-0.0955251157283783,47.200965881347656,0.0,15.747938490605735,1835,-4.999999999999671,0.0,0.0,0.0,0.004299175396242284
90,0,max_steps,1,0,0,12.519142573255667,2500,,,0.9559867233356352,0.1,0.006454459857195616,0.5224809646606445,-0.0952349379658699,47.200965881347656,0.0,17.519142573256,1394,-4.999999999999671,0.0,0.0,0.0,0.005007657029302267
100,0,max_steps,1,0,0,8.106995194774232,2500,,,0.951217530242334,0.1,0.007522658444941044,0.6376745104789734,-0.10169897973537445,92.16584014892578,0.0,13.106995194774173,1611,-4.999999999999671,0.0,0.0,0.0,0.003242798077909693
