ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10,0,max_steps,1,0,0,-20.75891035223137,2500,,,0.9950112350131176,0.1,0.002853811951354146,0.35874512791633606,-0.45285242795944214,55.06279754638672,0.0,4.2410896477688835,1023,-25.00000000000111,0.0,0.0,-0.008303564140892549,{0: 250},"{3: 149, 2: 101}",{1: 250},"{1: 228, 2: 16, 0: 6}",{1: 250},{1: 250},0.007740036447924774,0.010361852956486783,0.014108182671738252,0.018843532813559584,0.023880179333738587,0.029157335138438104,0.03217960966971905,0.038639002024275816,,,,
20,0,max_steps,1,0,0,-20.211102795137858,2500,,,0.9900473578023296,0.1,0.0034171876031905413,0.4058535695075989,-0.9194307327270508,64.03652954101562,0.0,4.788897204862328,1098,-25.00000000000111,0.0,0.0,-0.008084441118055143,{5: 250},"{3: 139, 2: 111}",{1: 250},"{1: 239, 2: 10, 0: 1}",{1: 250},{1: 250},0.00991649391562813,0.00876418970189587,0.013670474116693818,0.014813047041770552,0.01685853355941333,0.02444567205208963,0.022818179366663555,0.03128240497700282,,,,
30,0,max_steps,1,0,0,-18.965065996234166,2500,,,0.98510824420837,0.1,0.005022112745791674,0.4844234585762024,-0.9844038486480713,70.14668273925781,0.0,6.034934003765777,1297,-25.00000000000111,0.0,0.0,-0.007586026398493667,{1: 250},"{3: 146, 2: 104}",{1: 250},"{1: 244, 2: 6}",{1: 250},{1: 250},0.008765450070815665,0.008170638322710479,0.012708127555780522,0.0177359354613585,0.02655938667453769,0.021748699609878637,0.03647163225086177,0.03909929054415356,,,,
40,0,max_steps,1,0,0,-17.870151586510644,2500,,,0.9801937706913741,0.1,0.007776916027069092,0.6320702433586121,-1.1112194061279297,77.17022705078125,0.0,7.12984841348943,1485,-25.00000000000111,0.0,0.0,-0.0071480606346042575,{2: 250},"{3: 106, 2: 144}",{1: 250},"{1: 244, 2: 4, 0: 2}",{1: 250},{1: 250},0.00858302715011109,0.007909644006269985,0.01199249488321286,0.012880499050976008,0.022015781831696665,0.01796881503306952,0.030376757122640874,0.035389561099435245,,,,
50,0,max_steps,1,0,0,-18.835644336684584,2500,,,0.9753038143277888,0.1,0.008374230936169624,0.5961376428604126,-1.324545979499817,72.7274398803711,0.0,6.164355663315477,1516,-25.00000000000111,0.0,0.0,-0.007534257734673834,"{3: 107, 4: 143}","{2: 219, 3: 31}",{1: 250},"{1: 246, 0: 4}",{1: 250},{1: 250},0.008504545797554955,0.006069229441790372,0.011517138456178733,0.010791978275964585,0.017528545266235682,0.01631224389893526,0.021839516682684246,0.02693667817412392,0.016457704459531448,0.016546956353314768,0.021325611224846282,0.027649209298837466
60,0,max_steps,1,0,0,-20.887937439500018,2500,,,0.9704382528072976,0.1,0.008039376698434353,0.5823720097541809,-1.409348726272583,72.7274398803711,0.0,4.112062560500272,1129,-25.00000000000111,0.0,0.0,-0.008355174975800007,"{4: 33, 5: 217}","{2: 149, 3: 101}",{1: 250},"{1: 242, 0: 8}",{1: 250},{1: 250},0.008791902275985888,0.009167546313492125,0.012837920128618684,0.01632548155239756,0.02446748556701924,0.025477719506198003,0.03287331543096793,0.042341603191916204,,,,
70,0,max_steps,1,0,0,-17.15496705857743,2500,,,0.9655969644297613,0.1,0.009821947664022446,0.6722815632820129,-1.665406346321106,79.46098327636719,0.0,7.845032941422452,1343,-25.00000000000111,0.0,0.0,-0.006861986823430972,{0: 250},"{5: 9, 4: 20, 3: 124, 2: 97}",{1: 250},"{1: 203, 2: 46, 0: 1}",{1: 250},{1: 250},0.0062919782340554765,0.008452637122216763,0.01074433132303966,0.01857553386553496,0.020353118092399466,0.051445581332129765,0.03178851321204514,0.040964424994666994,,,,
80,0,max_steps,1,0,0,-12.358786498059533,2500,,,0.9607798281021742,0.1,0.009550053626298904,0.672298014163971,-1.6069689989089966,79.46098327636719,0.0,12.641213501940229,1756,-25.00000000000111,0.0,0.0,-0.004943514599223813,"{0: 174, 1: 76}","{5: 5, 4: 21, 3: 117, 2: 107}",{1: 250},"{1: 206, 2: 44}",{1: 250},{1: 250},0.0103387665578204,0.008776802647364336,0.01440721866419838,0.016591567908706473,0.024542440183488487,0.050218008870325466,0.0360693130072994,0.0379484027942098,,,,
90,0,max_steps,1,0,0,-20.958658160474727,2500,,,0.9559867233356352,0.1,0.011322496458888054,0.8123819828033447,-1.7209134101867676,104.9693603515625,0.0,4.041341839525351,1142,-25.00000000000111,0.0,0.0,-0.008383463264189891,{6: 250},"{2: 126, 3: 124}",{1: 250},"{1: 237, 0: 13}",{1: 250},{1: 250},0.009589501079272221,0.007399968512056384,0.012774557050775622,0.015937704374534775,0.018491587882546994,0.02415715370956069,0.028198797281805073,0.04181395059538597,,,,
100,0,max_steps,1,0,0,-17.392896076554244,2500,,,0.951217530242334,0.1,0.015171393752098083,0.9009152054786682,-1.7125678062438965,93.29997253417969,0.0,7.607103923445646,1081,-25.00000000000111,0.0,0.0,-0.006957158430621698,"{4: 131, 5: 119}","{4: 15, 3: 118, 2: 117}","{1: 244, 0: 6}","{1: 218, 2: 32}",{1: 250},{1: 250},0.01141506717454571,0.007595075384660994,0.014751878715675919,0.015466566687349727,0.029783624368377178,0.038708202230627854,0.036625226405784785,0.04581536076739997,,,,
