step,x,y,target_x,target_y
1,1.1943854675251023e-11,4.4401451461201776e-07,0.35,0.3
2,1.7894642681867167e-10,1.476762252699876e-06,0.35,0.3
3,8.333294635709455e-10,3.09385808194183e-06,0.35,0.3
4,2.4942436307587638e-09,5.290912104276621e-06,0.35,0.3
5,5.865249890730964e-09,8.063529750041845e-06,0.35,0.3
6,1.1831920552861335e-08,1.1407311873782388e-05,0.35,0.3
7,2.145945983349585e-08,1.5317854851686464e-05,0.35,0.3
8,3.599034376386198e-08,1.979075068060738e-05,0.35,0.3
9,5.6841979286177404e-08,2.4821587078630235e-05,0.35,0.3
10,8.560438237989496e-08,3.040594758714308e-05,0.35,0.3
11,1.240378750617005e-07,3.6539411674372946e-05,0.35,0.3
12,1.740708011045405e-07,4.321755484034801e-05,0.35,0.3
13,2.3779726032259677e-07,5.0435948723247634e-05,0.35,0.3
14,3.174748612707475e-07,5.8190161207102656e-05,0.35,0.3
15,4.1552249220865634e-07,6.647575653080926e-05,0.35,0.3
16,5.345181101812147e-07,7.528829539842018e-05,0.35,0.3
17,6.771965480686283e-07,8.46233350906776e-05,0.35,0.3
18,8.464473394609849e-07,9.447642957775298e-05,0.35,0.3
19,1.0453125612136705e-06,0.00010484312963315957,0.35,0.3
20,1.2769846935415095e-06,0.00011571898294880372,0.35,0.3
21,1.5448044975110003e-06,0.00012709953425114222,0.35,0.3
22,1.8522589097914891e-06,0.00013898032541841303,0.35,0.3
23,2.202978954527589e-06,0.00015135689559890746,0.35,0.3
24,2.6007376721965834e-06,0.00016422478133025302,0.35,0.3
25,3.0494480653159875e-06,0.0001775795166596754,0.35,0.3
26,3.553161060867836e-06,0.0001914166332652102,0.35,0.3
27,4.116063489307668e-06,0.00020573166057783423,0.35,0.3
28,4.742476080027541e-06,0.00022052012590448777,0.35,0.3
29,5.436851473143782e-06,0.0002357775545519589,0.35,0.3
30,6.2037722474815006e-06,0.000251499469951602,0.35,0.3
31,7.047948964629233e-06,0.0002676813937848632,0.35,0.3
32,7.974218228938396e-06,0.00028431884610958505,0.35,0.3
33,8.98754076334351e-06,0.00030140734548706507,0.35,0.3
34,1.0092999500880443e-05,0.00031894240910984096,0.35,0.3
35,1.129579769178118e-05,0.00033691955293017764,0.35,0.3
36,1.2601257026024882e-05,0.0003553342917892312,0.35,0.3
37,1.4014815771226237e-05,0.00037418213954686455,0.35,0.3
38,1.5542026925743283e-05,0.0003934586092120912,0.35,0.3
39,1.7188556386888156e-05,0.0004131592130741233,0.35,0.3
40,1.896018113412535e-05,0.0004332794628340006,0.35,0.3
41,2.086278742714326e-05,0.00045381486973677753,0.35,0.3
42,2.290236901868599e-05,0.0004747609447042466,0.35,0.3
43,2.5085025382033465e-05,0.000496113198468175,0.35,0.3
44,2.741695995301913e-05,0.0005178671417040339,0.35,0.3
45,2.9904478386475517e-05,0.0005400182851651989,0.35,0.3
46,3.25539868269992e-05,0.0005625621398176012,0.35,0.3
47,3.5371990193927636e-05,0.0005854942169748079,0.35,0.3
48,3.836509048042155e-05,0.0006088100284335133,0.35,0.3
49,4.153998506654753e-05,0.0006325050866094208,0.35,0.3
50,4.4903465046256577e-05,0.0006565749046734952,0.35,0.3
51,4.846241356815549e-05,0.000681014996688568,0.35,0.3
52,5.222380418996876e-05,0.0007058208777462767,0.35,0.3
53,5.6194699246589936e-05,0.0007309880641043195,0.35,0.3
54,6.0382248231622234e-05,0.0007565120733240079,0.35,0.3
55,6.479368619230927e-05,0.0007823884244081,0.35,0.3
56,6.943633213775768e-05,0.000808612637938897,0.35,0.3
57,7.431758746035444e-05,0.0008351802362165858,0.35,0.3
58,7.944493437028269e-05,0.0008620867433978121,0.35,0.3
59,8.482593434304062e-05,0.0008893276856344668,0.35,0.3
60,9.046822657986906e-05,0.0009168985912126705,0.35,0.3
61,9.637952648099454e-05,0.00094479499069194,0.35,0.3
62,0.00010256762413159486,0.0009730124170445225,0.35,0.3
63,0.00010904038280039595,0.0010015464057948802,0.35,0.3
64,0.00011580573745080895,0.0010303924951593141,0.35,0.3
65,0.0001228716932645178,0.0010595462261857092,0.35,0.3
66,0.00013024632417742824,0.0010890031428933886,0.35,0.3
67,0.00013793777142789024,0.0011187587924130632,0.35,0.3
68,0.00014595424211710618,0.0011488087251268608,0.35,0.3
69,0.00015430400778163877,0.0011791484948084244,0.35,0.3
70,0.0001629954029779327,0.001209773658763065,0.35,0.3
71,0.0001720368238787654,0.0012406797779679548,0.35,0.3
72,0.00018143672688154285,0.0012718624172123505,0.35,0.3
73,0.00019120362722835701,0.0013033171452378335,0.35,0.3
74,0.00020134609763772286,0.0013350395348785537,0.35,0.3
75,0.0002118727669479129,0.001367025163201466,0.35,0.3
76,0.00022279231877180854,0.0013992696116465486,0.35,0.3
77,0.00023411349016318815,0.001431768466166989,0.35,0.3
78,0.0002458450702943723,0.0014645173173693294,0.35,0.3
79,0.00025799589914514756,0.0014975117606535581,0.35,0.3
80,0.0002705748662028913,0.0015307473963531376,0.35,0.3
81,0.0002835909091738195,0.001564219829874958,0.35,0.3
82,0.0002970530127052819,0.001597924671839205,0.35,0.3
83,0.0003109702071190282,0.0016318575382191331,0.35,0.3
84,0.00032535156715537034,0.0016660140504807324,0.35,0.3
85,0.00034020621072816676,0.0017003898357222812,0.35,0.3
86,0.0003555432976905544,0.0017349805268137728,0.35,0.3
87,0.00037137202861135533,0.0017697817625362082,0.35,0.3
88,0.0003877016435620869,0.0018047891877207435,0.35,0.3
89,0.0004045414209145013,0.0018399984533876864,0.35,0.3
90,0.00042190067614858613,0.0018754052168853282,0.35,0.3
91,0.0004397887606709534,0.0019110051420286064,0.35,0.3
92,0.00045821506064354795,0.0019467938992375857,0.35,0.3
