step,x,y,target_x,target_y
1,1.3426402068194908e-11,2.466431442303241e-07,0.35,0.3
2,2.011592032505575e-10,8.2105219305024e-07,0.35,0.3
3,9.367767961459694e-10,1.7217422442342867e-06,0.35,0.3
4,2.8038897692804248e-09,2.9471895079057684e-06,0.35,0.3
5,6.593428806364342e-09,4.495831735306377e-06,0.35,0.3
6,1.3300954503735695e-08,6.366068646190464e-06,0.35,0.3
7,2.4123988926030325e-08,8.556262354828711e-06,0.35,0.3
8,4.045936872203734e-08,1.1064737794606575e-05,0.35,0.3
9,6.390061962459172e-08,1.3889783141203339e-05,0.35,0.3
10,9.623535216022795e-08,1.7029650234338194e-05,0.35,0.3
11,1.394426783961683e-07,2.048255499807017e-05,0.35,0.3
12,1.9569064955404766e-07,2.4246677859639335e-05,0.35,0.3
13,2.6733371432158275e-07,2.8320164166837198e-05,0.35,0.3
14,3.5691019769517917e-07,3.2701124603894705e-05,0.35,0.3
15,4.671398001882337e-07,3.738763560587651e-05,0.35,0.3
16,6.009211172416324e-07,4.2377739771571005e-05,0.35,0.3
17,7.613291786746678e-07,4.766944627486574e-05,0.35,0.3
18,9.516130080162995e-07,5.326073127459862e-05,0.35,0.3
19,1.1751932015583686e-06,5.914953832287522e-05,0.35,0.3
20,1.4356595269740307e-06,6.533377877184353e-05,0.35,0.3
21,1.7367685413463255e-06,7.181133217891755e-05,0.35,0.3
22,2.0824412284534106e-06,7.85800467104416e-05,0.35,0.3
23,2.476760655158605e-06,8.563773954378757e-05,0.35,0.3
24,2.9239696467549606e-06,9.298219726787791e-05,0.35,0.3
25,3.4284684811156503e-06,0.00010061117628212741,0.35,0.3
26,3.99481260150301e-06,0.00010852240319379704,0.35,0.3
27,4.6277103478905985e-06,0.00011671357521375391,0.35,0.3
28,5.332020706654147e-06,0.0001251823605506313,0.35,0.3
29,6.112751078488768e-06,0.00013392639880338344,0.35,0.3
30,6.975055064411257e-06,0.00014294330135222966,0.35,0.3
31,7.924230269707801e-06,0.00015223065174798335,0.35,0.3
32,8.965716125688805e-06,0.00016178600609976113,0.35,0.3
33,1.0105091729114022e-05,0.000171606893461068,0.35,0.3
34,1.1348073699152533e-05,0.00018169081621425472,0.35,0.3
35,1.270051405174353e-05,0.00019203525045334392,0.35,0.3
36,1.4168398091225238e-05,0.0002026376463652214,0.35,0.3
37,1.5757842319100633e-05,0.00021349542860919,0.35,0.3
38,1.747509235981e-05,0.00022460599669488326,0.35,0.3
39,1.9326520903381638e-05,0.00023596672535853614,0.35,0.3
40,2.1318625664833383e-05,0.00024757496493761134,0.35,0.3
41,2.345802736019888e-05,0.00025942804174377865,0.35,0.3
