step,x,y,target_x,target_y
1,9.871539904107993e-12,4.002635615201922e-07,0.35,0.3
2,1.4789799539961823e-10,1.3311541959647335e-06,0.35,0.3
3,6.88739239869939e-10,2.788595289576384e-06,0.35,0.3
4,2.061464138983024e-09,4.768510638002288e-06,0.35,0.3
5,4.847549574157471e-09,7.266824482939855e-06,0.35,0.3
6,9.778895855101431e-09,1.0279461550707157e-05,0.35,0.3
7,1.7735858384492526e-08,1.380234709269605e-05,0.35,0.3
8,2.9745295439311637e-08,1.7831406927666462e-05,0.35,0.3
9,4.697863193477168e-08,2.2362567485841366e-05,0.35,0.3
10,7.074993903819425e-08,2.7391755854762385e-05,0.35,0.3
11,1.0251402950158263e-07,3.291489982686661e-05,0.35,0.3
12,1.4386456858301944e-07,3.8927927948745976e-05,0.35,0.3
13,1.9653220042838073e-07,4.5426769572051045e-05,0.35,0.3
14,2.623826897862067e-07,5.240735490600172e-05,0.35,0.3
15,3.434150789299016e-07,5.986561507146794e-05,0.35,0.3
16,4.41759859662753e-07,6.779748215658426e-05,0.35,0.3
17,5.596771602825625e-07,7.619888927386229e-05,0.35,0.3
18,6.995549473839665e-07,8.506577061876617e-05,0.35,0.3
19,8.639072423777997e-07,9.439406152971644e-05,0.35,0.3
20,1.055372352608109e-06,0.00010417969854948814,0.35,0.3
21,1.2767111169486715e-06,0.00011441861948797002,0.35,0.3
22,1.5308051657620948e-06,0.00012510676348625172,0.35,0.3
23,1.8206551951057995e-06,0.0001362400710820066,0.35,0.3
24,2.1493792550703736e-06,0.00014781448427613855,0.35,0.3
25,2.520211052136987e-06,0.0001598259466006612,0.35,0.3
26,2.936498265441717e-06,0.00017227040318777915,0.35,0.3
27,3.4017008768357998e-06,0.00018514380084014046,0.35,0.3
28,3.919389514631971e-06,0.000198442088102231,0.35,0.3
29,4.493243810928182e-06,0.00021216121533288115,0.35,0.3
30,5.1270507724011075e-06,0.00022629713477885602,0.35,0.3
31,5.824703164462965e-06,0.00024084580064950113,0.35,0.3
32,6.590197908676246e-06,0.0002558031691924153,0.35,0.3
33,7.427634493322066e-06,0.0002711651987701237,0.35,0.3
34,8.341213397018879e-06,0.0002869278499377237,0.35,0.3
35,9.335234525289378e-06,0.00030308708552147744,0.35,0.3
36,1.0414095659974447e-05,0.0003196388706983248,0.35,0.3
37,1.1582290921394041e-05,0.0003365791730762913,0.35,0.3
38,1.2844409243155903e-05,0.0003539039627757653,0.35,0.3
39,1.4205132859514045e-05,0.00037160921251162035,0.35,0.3
40,1.56692358051799e-05,0.000389690897676158,0.35,0.3
41,1.7241582427490022e-05,0.000408144996422847,0.35,0.3
42,1.892712591083524e-05,0.00042696748975083515,0.35,0.3
43,2.073090681325703e-05,0.00044615436159021137,0.35,0.3
44,2.2658051615117954e-05,0.00046570159888799465,0.35,0.3
45,2.4713771279753835e-05,0.0004856051916948273,0.35,0.3
46,2.690335982601629e-05,0.0005058611332523508,0.35,0.3
47,2.9232192912615265e-05,0.0005264654200812428,0.35,0.3
48,3.1705726434171926e-05,0.0005474140520698935,0.35,0.3
49,3.432949512889334e-05,0.0005687030325637003,0.35,0.3
50,3.710911119778117e-05,0.0005903283684549614,0.35,0.3
51,4.005026293528747e-05,0.0006122860702733464,0.35,0.3
52,4.3158713371331634e-05,0.000634572152276925,0.35,0.3
53,4.6440298924593204e-05,0.0006571826325437345,0.35,0.3
54,4.990092806699639e-05,0.0006801135330638654,0.35,0.3
55,5.3546579999302606e-05,0.0007033608798320488,0.35,0.3
56,5.738330333772856e-05,0.0007269207029407234,0.35,0.3
57,6.141721481150788e-05,0.0007507890366735677,0.35,0.3
58,6.565449797131531e-05,0.0007749619195994764,0.35,0.3
59,7.01014019084732e-05,0.0007994353946669649,0.35,0.3
60,7.476423998486083e-05,0.0008242055092989839,0.35,0.3
61,7.964938857344787e-05,0.0008492683154881275,0.35,0.3
62,8.476328580937401e-05,0.0008746198698922179,0.35,0.3
63,9.011243035149768e-05,0.0009002562339302494,0.35,0.3
64,9.570338015433725e-05,0.0009261734738786767,0.35,0.3
65,0.00010154275125032936,0.0009523676609680308,0.35,0.3
66,0.000107637216542329,0.000978834871479847,0.35,0.3
67,0.0001139935046062775,0.0010055711868438898,0.35,0.3
68,0.00012061839850396467,0.0010325726937356582,0.35,0.3
69,0.0001275187346058123,0.0010598354841741596,0.35,0.3
70,0.00013470140142360707,0.0010873556556199343,0.35,0.3
71,0.00014217333845311126,0.0011151293110733171,0.35,0.3
72,0.00014994153502648048,0.0011431525591729236,0.35,0.3
73,0.00015801302917441864,0.0011714215142943456,0.35,0.3
74,0.00016639490649800038,0.0011999322966490418,0.35,0.3
75,0.0001750942990500924,0.001228681032383411,0.35,0.3
76,0.00018411838422630563,0.0012576638536780347,0.35,0.3
77,0.00019347438366541054,0.0012868768988470755,0.35,0.3
78,0.00020316956215914902,0.0013163163124378192,0.35,0.3
79,0.0002132112265713764,0.0013459782453303472,0.35,0.3
80,0.00022360672476646817,0.0013758588548373276,0.35,0.3
81,0.00023436344454692636,0.0014059543048039122,0.35,0.3
82,0.00024548881260012107,0.0014362607657077277,0.35,0.3
83,0.00025699029345410365,0.00146677441475895,0.35,0.3
84,0.0002688753884424279,0.001497491436000449,0.35,0.3
85,0.00028115163467791747,0.0015284080204079932,0.35,0.3
86,0.0002938266040353159,0.0015595203659905024,0.35,0.3
87,0.00030690790214276005,0.001590824677890338,0.35,0.3
88,0.00032040316738201344,0.0016223171684836201,0.35,0.3
89,0.00033432006989740165,0.0016539940574805602,0.35,0.3
90,0.00034866631061338785,0.0016858515720258,0.35,0.3
91,0.0003634496202607304,0.0017178859467987448,0.35,0.3
92,0.0003786777584111637,0.0017500934241138832,0.35,0.3
93,0.0003943585125205435,0.00178247025402108,0.35,0.3
94,0.00041049969698039944,0.0018150126944058364,0.35,0.3
95,0.0004271091521778373,0.0018477170110895065,0.35,0.3
96,0.000444194743563735,0.001880579477929457,0.35,0.3
97,0.0004617643607291753,0.0019135963769191676,0.35,0.3
98,0.0004798259164900597,0.0019467639982882574,0.35,0.3
99,0.0004983873459798491,0.0019800786406024297,0.35,0.3
100,0.0005174566057503755,0.0020135366108633298,0.35,0.3
101,0.0005370416728806716,0.0020471342246082993,0.35,0.3
102,0.0005571505440937627,0.002080867806010029,0.35,0.3
103,0.0005777912348813708,0.00211473368797609,0.35,0.3
104,0.0005989717786364739,0.0021487282122483464,0.35,0.3
105,0.0006207002257936724,0.0021828477295022315,0.35,0.3
106,0.0006429846429773073,0.0022170885994458873,0.35,0.3
107,0.000665833112157281,0.002251447190919153,0.35,0.3
108,0.0006892537298125276,0.0022859198819924,0.35,0.3
109,0.0007132546061020849,0.0023205030600652017,0.35,0.3
110,0.0007378438640437148,0.0023551931219648334,0.35,0.3
111,0.0007630296387000243,0.002389986474044592,0.35,0.3
112,0.0007888200763720382,0.0024248795322819334,0.35,0.3
113,0.0008152233338001724,0.0024598687223764126,0.35,0.3
114,0.000842247577372561,0.002494950479847427,0.35,0.3
115,0.0008699009823406894,0.002530121250131752,0.35,0.3
116,0.0008981917320422843,0.0025653774886808594,0.35,0.3
117,0.0009271280171314141,0.0026007156610580225,0.35,0.3
118,0.0009567180348157525,0.002636132243035187,0.35,0.3
119,0.0009869699881009596,0.0026716237206896093,0.35,0.3
120,0.0010178920850421331,0.0027071865905002597,0.35,0.3
121,0.0010494925380022844,0.002742817359443972,0.35,0.3
122,0.0010817795629177946,0.002778512545091344,0.35,0.3
123,0.0011147613785708042,0.0028142686757023786,0.35,0.3
124,0.001148446205868493,0.002850082290321861,0.35,0.3
125,0.001182842267129206,0.002885949938874461,0.35,0.3
126,0.0012179577853753797,0.0029218681822595614,0.35,0.3
127,0.001253800983633227,0.0029578335924458046,0.35,0.3
128,0.0012903800842391352,0.002993842752565347,0.35,0.3
129,0.001327703308152739,0.0030298922570078228,0.35,0.3
130,0.0013657788742766175,0.0030659787115140057,0.35,0.3
131,0.0014046149987825827,0.0031020987332691674,0.35,0.3
132,0.0014442198944445096,0.0031382489509961236,0.35,0.3
133,0.001484601769977671,0.0031744260050479665,0.35,0.3
134,0.0015257688293845333,0.003210626547500474,0.35,0.3
135,0.0015677292713069742,0.0032468472422441923,0.35,0.3
136,0.001610491288384879,0.0032830847650761916,0.35,0.3
137,0.0016540630666210783,0.0033193358037914788,0.35,0.3
138,0.0016984527847525852,0.0033555970582740745,0.35,0.3
139,0.001743668613628091,0.0033918652405877407,0.35,0.3
140,0.001789718715591683,0.003428137075066359,0.35,0.3
141,0.001836611243872744,0.0034644092984039503,0.35,0.3
142,0.0018843543419819928,0.0035006786597443396,0.35,0.3
143,0.0019329561431136297,0.0035369419207704486,0.35,0.3
144,0.0019824247695535467,0.003573195855793225,0.35,0.3
145,0.002032768332093567,0.003609437251840192,0.35,0.3
146,0.002083994929451672,0.003645662908743626,0.35,0.3
147,0.002136112647698182,0.0036818696392283442,0.35,0.3
148,0.002189129559687853,0.0037180542689991087,0.35,0.3
149,0.0022430537244978507,0.0037542136368276403,0.35,0.3
150,0.002297893186871564,0.0037903445946392326,0.35,0.3
151,0.0023536559766682273,0.0038264440075989692,0.35,0.3
152,0.0024103501083183104,0.003862508754197536,0.35,0.3
153,0.0024679835802846398,0.0038985357263366257,0.35,0.3
154,0.0025265643745292204,0.003934521829413929,0.35,0.3
155,0.002586100455985717,0.00397046398240771,0.35,0.3
156,0.002646599772037564,0.004006359117960966,0.35,0.3
157,0.002708070252001665,0.004042204182465153,0.35,0.3
158,0.0027705198066176537,0.0040779961361435,0.35,0.3
159,0.0028339563275426726,0.004113731953133872,0.35,0.3
160,0.002898387686851645,0.004149408621571217,0.35,0.3
161,0.0029638217365429986,0.004185023143669559,0.35,0.3
162,0.003030266308049812,0.00422057253580356,0.35,0.3
163,0.003097729211756347,0.004256053828589628,0.35,0.3
164,0.003166218236519937,0.0042914640669665825,0.35,0.3
165,0.003235741149198195,0.0043268003102758575,0.35,0.3
166,0.0033063056941815094,0.004362059632341259,0.35,0.3
167,0.003377919592930799,0.004397239121548257,0.35,0.3
168,0.0034505905435204868,0.004432335880922813,0.35,0.3
169,0.003524326220186666,0.004467347028209743,0.35,0.3
170,0.0035991342728804283,0.00450226969595061,0.35,0.3
171,0.0036750223268263147,0.004537101031561149,0.35,0.3
172,0.0037519979820858644,0.004571838197408203,0.35,0.3
173,0.003830068813126229,0.004606478370886192,0.35,0.3
174,0.0039092423683938175,0.004641018744493094,0.35,0.3
175,0.003989526169892944,0.004675456525905938,0.35,0.3
