step,x,y,target_x,target_y
1,0.0,1.7999999999999997e-05,0.35,0.3
2,0.0,5.981999999999999e-05,0.35,0.3
3,0.0,0.0001252218,0.35,0.3
4,0.0,0.00021396958199999998,0.35,0.3
5,0.0,0.00032582988617999996,0.35,0.3
6,0.0,0.00046057158731819994,0.35,0.3
7,0.0,0.0006179658714450179,0.35,0.3
8,0.0,0.0007977862127305676,0.35,0.3
9,0.0,0.000999808350603262,0.35,0.3
10,0.0,0.0012238102670972294,0.35,0.3
11,0.0,0.001469572164426257,0.35,0.3
12,0.0,0.0017368764427819945,0.35,0.3
13,0.0,0.0020255076783541747,0.35,0.3
14,0.0,0.002335252601570633,0.35,0.3
15,3.58399999992507e-10,0.00266890007555292,0.35,0.3
16,5.3680721899602925e-09,0.003027211074685178,0.35,0.3
17,2.4980919888408698e-08,0.0034099389629060244,0.35,0.3
18,7.471179363859406e-08,0.0038168395684868755,0.35,0.3
19,1.7554094456361877e-07,0.004247671157327807,0.35,0.3
20,3.53816844734695e-07,0.004702194405804618,0.35,0.3
21,6.411593813239285e-07,0.005180172373190679,0.35,0.3
22,1.0743634311265025e-06,0.005681370473677141,0.35,0.3
23,1.6953028218594986e-06,0.006205556448015081,0.35,0.3
24,2.550834686475715e-06,0.006752500334803112,0.35,0.3
25,3.692704216570669e-06,0.00732197444144393,0.35,0.3
26,5.177449820809396e-06,0.007913753314793218,0.35,0.3
27,7.066308694156602e-06,0.008527613711524237,0.35,0.3
28,9.425122803559026e-06,0.00916333456823133,0.35,0.3
29,1.2324245295602487e-05,0.009820696971295478,0.35,0.3
30,1.583844733154774e-05,0.01049948412653487,0.35,0.3
31,2.0046825355038926e-05,0.01119948132866336,0.35,0.3
32,2.5032708797675826e-05,0.011920475930579516,0.35,0.3
33,3.0883568227546175e-05,0.012662257312508744,0.35,0.3
34,3.769092394572673e-05,0.013424616851020877,0.35,0.3
35,4.5550255035681426e-05,0.014207347887945336,0.35,0.3
36,5.4560908870411656e-05,0.015010245699205832,0.35,0.3
37,6.482601108214714e-05,0.015833107463596303,0.35,0.3
38,7.645237599930579e-05,0.01667573223151955,0.35,0.3
39,8.955041755539745e-05,0.01753792089370987,0.35,0.3
40,0.00010423406067449853,0.018419476149960586,0.35,0.3
41,0.00012062065313788309,0.01932020247787724,0.35,0.3
42,0.00013883087793635946,0.020239906101676846,0.35,0.3
43,0.00015898866611283063,0.021178394961053365,0.35,0.3
44,0.00018122111009957094,0.02213547868012923,0.35,0.3
45,0.00020565837755469042,0.023110968536512465,0.35,0.3
46,0.00023243362570224123,0.024104677430478564,0.35,0.3
47,0.00026168291618040927,0.025116419854296093,0.35,0.3
48,0.00029354513040222427,0.02614601186171446,0.35,0.3
49,0.00032816188543321795,0.027193271037632142,0.35,0.3
