ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step
10,0,max_steps,1,0,0,10.56644684114122,2500,,,0.9950112350131176,0.1,0.001107519492506981,0.22958813607692719,-0.041226841509342194,50.05419158935547,0.0,15.566446841141252,1499,-4.999999999999671,0.0,0.0,0.0,0.004226578736456488
20,0,max_steps,1,0,0,3.374146190044617,2500,,,0.9900473578023296,0.1,0.001161144464276731,0.22961200773715973,-0.041226841509342194,50.05419158935547,0.0,8.37414619004446,1529,-4.999999999999671,0.0,0.0,0.0,0.0013496584760178468
30,0,max_steps,1,0,0,-2.691450368800207,2500,,,0.98510824420837,0.1,0.0022153807803988457,0.2767360508441925,-0.07104375958442688,57.47259521484375,0.0,2.308549631199629,785,-4.999999999999671,0.0,0.0,0.0,-0.0010765801475200827
40,0,max_steps,1,0,0,-1.1228671808184993,2500,,,0.9801937706913741,0.1,0.0032822084613144398,0.3342205882072449,-0.07170569151639938,58.721160888671875,0.0,3.877132819181496,1004,-4.999999999999671,0.0,0.0,0.0,-0.00044914687232739975
50,0,max_steps,1,0,0,5.2946460811439975,2500,,,0.9753038143277888,0.1,0.003307218197733164,0.2643701136112213,-0.07136586308479309,23.88421630859375,0.0,10.294646081143735,1514,-4.999999999999671,0.0,0.0,0.0,0.002117858432457599
60,0,max_steps,1,0,0,-4.0903431818656415,2500,,,0.9704382528072976,0.1,0.0033217635937035084,0.26435086131095886,-0.07562883198261261,23.88421630859375,0.0,0.9096568181340831,500,-4.999999999999671,0.0,0.0,0.0,-0.0016361372727462565
70,0,max_steps,1,0,0,-2.4867599764581594,2500,,,0.9655969644297613,0.1,0.004322224762290716,0.3947775661945343,-0.14571265876293182,70.0858383178711,0.0,2.5132400235417105,917,-4.999999999999671,0.0,0.0,0.0,-0.0009947039905832638
80,0,max_steps,1,0,0,1.7621899505786467,2500,,,0.9607798281021742,0.1,0.0043535856530070305,0.39463672041893005,-0.14571265876293182,70.0858383178711,0.0,6.762189950578517,1304,-4.999999999999671,0.0,0.0,0.0,0.0007048759802314587
90,0,max_steps,1,0,0,-2.758810446145532,2500,,,0.9559867233356352,0.1,0.004377586767077446,0.3946642279624939,-0.07662325352430344,70.0858383178711,0.0,2.24118955385438,903,-4.999999999999671,0.0,0.0,0.0,-0.0011035241784582129
100,0,max_steps,1,1,0,504.12622622501516,2500,1648.0,1648.0,0.951217530242334,0.1,0.00541085796430707,0.4652654826641083,-0.06652823835611343,76.66390991210938,500.0,9.124226225019942,1429,-4.997999999999672,0.0,0.0,0.0,0.20165049049000605
110,0,max_steps,1,0,0,3.963440217801905,2500,,,0.9464721295325524,0.1,0.005419548600912094,0.4652531147003174,-0.07821077853441238,76.66390991210938,0.0,8.96344021780168,1624,-4.999999999999671,0.0,0.0,0.0,0.0015853760871207619
120,0,max_steps,1,0,0,-1.548803365052629,2500,,,0.9417504025116805,0.1,0.005449921824038029,0.4094791114330292,-0.09739493578672409,37.5933837890625,0.0,3.4511966349473626,982,-4.999999999999671,0.0,0.0,0.0,-0.0006195213460210516
130,0,max_steps,1,0,0,2.9993310112646085,2500,,,0.937052231077248,0.1,0.005511355120688677,0.4093143343925476,-0.09739493578672409,37.5933837890625,0.0,7.999331011264528,1725,-4.999999999999671,0.0,0.0,0.0,0.0011997324045058433
140,0,max_steps,1,0,0,-1.6223214245084983,2500,,,0.9323774977159699,0.1,0.005379596259444952,0.3738548457622528,-0.0536654032766819,33.708900451660156,0.0,3.3776785754915,733,-4.999999999999671,0.0,0.0,0.0,-0.0006489285698033993
150,0,max_steps,1,0,0,-2.345499664003143,2500,,,0.9277260855008077,0.1,0.006331666372716427,0.44482818245887756,-0.05484448000788689,40.3474235534668,0.0,2.6545003359967363,1214,-4.999999999999671,0.0,0.0,0.0,-0.0009381998656012571
160,0,max_steps,1,1,0,503.0473403707013,2500,1320.0,1320.0,0.923097878088044,0.1,0.008311598561704159,0.6332973837852478,-0.09679587185382843,91.3545150756836,500.0,8.045340370710324,1247,-4.997999999999672,0.0,0.0,0.0,0.20121893614828051
170,0,max_steps,1,0,0,2.0852225519217837,2500,,,0.9184927597143733,0.1,0.009412934072315693,0.7240764498710632,-0.05484448000788689,105.36785888671875,0.0,7.085222551921461,872,-4.999999999999671,0.0,0.0,0.0,0.0008340890207687135
180,0,max_steps,1,0,0,7.273330273743324,2500,,,0.9139106151940054,0.1,0.009474100545048714,0.7235880494117737,-0.05484448000788689,105.36785888671875,0.0,12.273330273743213,1645,-4.999999999999671,0.0,0.0,0.0,0.0029093321094973293
190,0,max_steps,1,0,0,0.012897097635207633,2500,,,0.9093513299157857,0.1,0.011468165554106236,0.8125033974647522,-0.04305410012602806,73.4698257446289,0.0,5.012897097635198,1531,-4.999999999999671,0.0,0.0,0.0,5.158839054083053e-06
200,0,max_steps,1,0,0,0.1826475878636199,2500,,,0.9048147898403269,0.1,0.011378776282072067,0.7471567988395691,-0.043414726853370667,66.84648895263672,0.0,5.182647587863601,1446,-4.999999999999671,0.0,0.0,0.0,7.305903514544796e-05
210,0,max_steps,1,0,0,0.2887792740265871,2500,,,0.9003008814971583,0.1,0.011317732743918896,0.7240282893180847,-0.043414726853370667,65.14128875732422,0.0,5.288779274026559,1324,-4.999999999999671,0.0,0.0,0.0,0.00011551170961063483
220,0,max_steps,1,0,0,0.26246228029605145,2500,,,0.895809491981886,0.1,0.011255978606641293,0.7093896269798279,-0.043414726853370667,63.19947814941406,0.0,5.262462280296051,1195,-4.999999999999671,0.0,0.0,0.0,0.00010498491211842058
230,0,max_steps,1,0,0,-1.9499628230449657,2500,,,0.8913405089533699,0.1,0.014310924336314201,0.9472127556800842,-0.04175408557057381,117.53840637207031,0.0,3.0500371769549126,716,-4.999999999999671,0.0,0.0,0.0,-0.0007799851292179863
240,0,max_steps,1,0,0,5.431925821647566,2500,,,0.8868938206309135,0.1,0.014236675575375557,0.9456104040145874,-0.04175408557057381,117.53840637207031,0.0,10.431925821647566,1465,-4.999999999999671,0.0,0.0,0.0,0.0021727703286590263
250,0,max_steps,1,0,0,4.043506888984458,2500,,,0.8824693157914677,0.1,0.014131196774542332,0.9447224736213684,-0.04175408557057381,117.53840637207031,0.0,9.043506888984464,1266,-4.999999999999671,0.0,0.0,0.0,0.0016174027555937833
260,0,max_steps,1,0,0,0.18905738607362155,2500,,,0.8780668837668493,0.1,0.015163691714406013,1.0205665826797485,-0.04181217774748802,123.41050720214844,0.0,5.189057386073621,968,-4.999999999999671,0.0,0.0,0.0,7.562295442944862e-05
270,0,max_steps,1,0,0,3.445492753883141,2500,,,0.8736864144409725,0.1,0.015950173139572144,1.0402827262878418,-0.05515914410352707,93.0093765258789,0.0,8.445492753882922,1710,-4.999999999999671,0.0,0.0,0.0,0.0013781971015532563
280,0,max_steps,1,0,0,7.527173259078412,2500,,,0.8693277982470946,0.1,0.015686623752117157,0.9940111041069031,-0.05515914410352707,88.6694564819336,0.0,12.527173259078289,1519,-4.999999999999671,0.0,0.0,0.0,0.003010869303631365
290,0,max_steps,1,0,0,-3.5910609304958645,2500,,,0.864990926165076,0.1,0.015332486480474472,0.9505903720855713,-0.05515914410352707,84.55436706542969,0.0,1.4089390695039565,911,-4.999999999999671,0.0,0.0,0.0,-0.0014364243721983459
300,0,max_steps,1,0,0,4.897266939114607,2500,,,0.8606756897186528,0.1,0.016082150861620903,0.9669541120529175,-0.08429095894098282,86.69749450683594,0.0,9.897266939114543,1076,-4.999999999999671,0.0,0.0,0.0,0.0019589067756458425
310,0,max_steps,1,0,0,-0.15809037187688538,2500,,,0.8563819809727236,0.1,0.016558937728405,0.9686924815177917,-0.048718586564064026,85.1277847290039,0.0,4.841909628123112,1216,-4.999999999999671,0.0,0.0,0.0,-6.323614875075415e-05
320,0,max_steps,1,0,0,7.808098463819247,2500,,,0.8521096925306499,0.1,0.017400650307536125,1.023594617843628,-0.041226841509342194,93.06649017333984,0.0,12.80809846381914,1240,-4.999999999999671,0.0,0.0,0.0,0.003123239385527699
330,0,max_steps,1,0,0,2.2351632338279104,2500,,,0.84785871753157,0.1,0.017152154818177223,1.019810438156128,-0.041226841509342194,93.06649017333984,0.0,7.235163233827853,1008,-4.999999999999671,0.0,0.0,0.0,0.0008940652935311642
340,0,max_steps,1,0,0,1.6424761056153072,2500,,,0.8436289496477257,0.1,0.017846956849098206,1.093575358390808,-0.041226841509342194,128.9442138671875,0.0,6.6424761056152795,1114,-4.999999999999671,0.0,0.0,0.0,0.0006569904422461228
350,0,max_steps,1,0,0,1.8735875526017725,2500,,,0.8394202830818028,0.1,0.017660217359662056,1.0905735492706299,-0.041226841509342194,128.9442138671875,0.0,6.873587552601534,1230,-4.999999999999671,0.0,0.0,0.0,0.000749435021040709
360,0,max_steps,1,1,0,502.1840936913127,2500,680.0,680.0,0.8352326125642855,0.1,0.018405918031930923,1.140605092048645,-0.041226841509342194,132.722412109375,500.0,7.182093691320681,1657,-4.997999999999672,0.0,0.0,0.0,0.20087363747652506
370,0,max_steps,1,0,0,12.96307119947383,2500,,,0.8310658333508228,0.1,0.017903020605444908,1.0277208089828491,-0.041226841509342194,92.18048858642578,0.0,17.963071199474005,1875,-4.999999999999671,0.0,0.0,0.0,0.005185228479789532
380,0,max_steps,1,0,0,-3.5005389379630434,2500,,,0.8269198412196082,0.1,0.017490288242697716,0.9692163467407227,-0.041226841509342194,85.0270767211914,0.0,1.4994610620367947,597,-4.999999999999671,0.0,0.0,0.0,-0.0014002155751852174
390,0,max_steps,1,0,0,3.2428136001501557,2500,,,0.8227945324687735,0.1,0.017403552308678627,0.9345728754997253,-0.041226841509342194,81.60995483398438,0.0,8.242813600150013,1746,-4.999999999999671,0.0,0.0,0.0,0.0012971254400600623
400,0,max_steps,1,0,0,8.999291202315678,2500,,,0.8186898039137951,0.1,0.01930207945406437,1.079262614250183,-0.041226841509342194,126.56724548339844,0.0,13.999291202315604,1006,-4.999999999999671,0.0,0.0,0.0,0.0035997164809262712
410,0,max_steps,1,0,0,18.777419206914935,2500,,,0.8146055528849124,0.1,0.02014094777405262,1.1076635122299194,-0.041226841509342194,128.5974884033203,0.0,23.777419206914814,1601,-4.999999999999671,0.0,0.0,0.0,0.007510967682765974
420,0,max_steps,1,0,0,0.5419587757329565,2500,,,0.8105416772245603,0.1,0.023015685379505157,1.3215419054031372,-0.041226841509342194,146.813232421875,0.0,5.541958775732877,1060,-4.999999999999671,0.0,0.0,0.0,0.0002167835102931826
430,0,max_steps,1,0,0,-0.28316641406031023,2500,,,0.8064980752848135,0.1,0.0229972954839468,1.3210701942443848,-0.041226841509342194,146.813232421875,0.0,4.716833585939611,991,-4.999999999999671,0.0,0.0,0.0,-0.0001132665656241241
440,0,max_steps,1,0,0,1.366586678245806,2500,,,0.8024746459248447,0.1,0.02385799214243889,1.3906676769256592,-0.041226841509342194,149.8802490234375,0.0,6.3665866782458025,1338,-4.999999999999671,0.0,0.0,0.0,0.0005466346712983224
450,0,max_steps,1,0,0,11.963713468090651,2500,,,0.7984712885083941,0.1,0.026748495176434517,1.5668548345565796,-0.041226841509342194,167.21766662597656,0.0,16.96371346809078,1344,-4.999999999999671,0.0,0.0,0.0,0.00478548538723626
460,0,max_steps,1,0,0,3.8475502050959394,2500,,,0.7944879029012528,0.1,0.025743557140231133,1.4284940958023071,-0.041226841509342194,125.55098724365234,0.0,8.84755020509581,1220,-4.999999999999671,0.0,0.0,0.0,0.0015390200820383758
470,0,max_steps,1,1,0,515.5312442493159,2500,2116.0,2116.0,0.7905243894687576,0.1,0.026282131671905518,1.4760178327560425,-0.041226841509342194,158.76686096191406,500.0,20.529244249300604,1597,-4.997999999999672,0.0,0.0,0.0,0.20621249769972638
480,0,max_steps,1,0,0,7.851952912086917,2500,,,0.7865806490732993,0.1,0.027979668229818344,1.5477063655853271,-0.041226841509342194,164.2386932373047,0.0,12.851952912086906,1758,-4.999999999999671,0.0,0.0,0.0,0.003140781164834767
490,0,max_steps,1,0,0,4.003800584990164,2500,,,0.7826565830718433,0.1,0.027676032856106758,1.5092191696166992,-0.041226841509342194,132.9706268310547,0.0,9.003800584990037,1374,-4.999999999999671,0.0,0.0,0.0,0.0016015202339960655
500,0,max_steps,1,0,0,0.7935657121757648,2500,,,0.7787520933134615,0.1,0.027269715443253517,1.5075751543045044,-8.45608139038086,132.9706268310547,0.0,5.793565712175779,1097,-4.999999999999671,0.0,0.0,0.0,0.0003174262848703059
510,0,max_steps,1,1,0,517.622341780187,2500,2347.0,2347.0,0.7748670821368779,0.1,0.028911467641592026,1.5374844074249268,-8.45608139038086,163.7066650390625,500.0,22.620341780179817,1435,-4.997999999999672,0.0,0.0,0.0,0.20704893671207478
520,0,max_steps,1,0,0,16.621518979700166,2500,,,0.7710014523680259,0.1,0.02861018292605877,1.528303861618042,-8.45608139038086,163.7066650390625,0.0,21.621518979699943,1362,-4.999999999999671,0.0,0.0,0.0,0.006648607591880067
