ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,near_vx_bin_counts,near_vy_bin_counts,near_theta_bin_counts,near_omega_bin_counts,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_omega_abs_p90
10,0,max_steps,1,0,0,-68.70594881837093,2500,,,0.9950112350131176,0.1,0.0009172376012429595,0.2837795317173004,-8.82568073272705,57.440425872802734,0.0,7.592622528172837,1326,-4.999999999999671,-71.29857134654387,0.0,0.0,-0.02748237952734837,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.02041745961867496,0.02888039660055515,0.030751888007894555,0.041647441199582656,
20,0,max_steps,1,0,0,-41.339077260892346,2500,,,0.9900473578023296,0.1,0.0019276520470157266,0.4114033877849579,-10.552384376525879,70.44536590576172,0.0,2.427214835875559,492,-4.999999999999671,-38.76629209676791,0.0,0.0,-0.01653563090435694,{1: 250},{1: 250},{1: 250},{1: 250},{1: 27},{1: 27},{1: 27},{1: 27},0.029097637637501984,0.025447867952066754,0.038295937573272154,0.048586039630738875,0.02788145537048154
30,0,max_steps,1,0,0,-0.3855891956709427,2500,,,0.98510824420837,0.1,0.001966428244486451,0.4864884614944458,-12.635997772216797,77.28514862060547,0.0,4.614410804329049,970,-4.999999999999671,0.0,0.0,0.0,-0.00015423567826837708,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.020111919728399593,0.022665056549565122,0.03131434417465187,0.04878789438393505,
40,0,max_steps,1,0,0,-66.15613340332176,2500,,,0.9801937706913741,0.1,0.001999808941036463,0.5682150721549988,-9.454469680786133,84.23187255859375,0.0,4.635975178955958,755,-4.999999999999671,-65.79210858227779,0.0,0.0,-0.026462453361328703,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.025512949585488078,0.0286276851358773,0.033122409623020016,0.036185308409611774,
50,0,max_steps,1,0,0,-38.653983382174765,2500,,,0.9753038143277888,0.1,0.0017583726439625025,0.6404129862785339,-10.91037368774414,87.37156677246094,0.0,1.2665192544855128,664,-4.999999999999671,-34.92050263666042,0.0,0.0,-0.015461593352869906,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.017946447241164832,0.028272887786497284,0.02416879913978875,0.030435921736589693,
60,0,max_steps,1,0,0,-11.516246364299487,2500,,,0.9704382528072976,0.1,0.0013004138600081205,0.6431628465652466,-10.91037368774414,87.37156677246094,0.0,2.7307874202984315,598,-4.999999999999671,-9.247033784597914,0.0,0.0,-0.0046064985457197945,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.02033967649689545,0.0271850536982509,0.030934905308483404,0.033712117382755556,
70,0,max_steps,1,0,0,-23.078305369402354,2500,,,0.9655969644297613,0.1,6.202991789905354e-05,0.605712890625,-10.770424842834473,51.5798454284668,0.0,0.012509241289708484,13,-4.999999999999671,-18.090814610692348,0.0,0.0,-0.009231322147760943,{1: 250},{1: 250},{1: 250},{1: 250},{1: 19},{1: 19},{1: 19},{1: 19},0.012247014168658327,0.02695542326219211,0.017304066621542363,0.02520410343929615,0.011248895324619061
80,0,max_steps,1,0,0,-88.58924852803149,2500,,,0.9607798281021742,0.1,-0.00012968880764674395,0.7175647020339966,-11.297416687011719,95.63824462890625,0.0,1.7747514892076526,756,-4.999999999999671,-85.3640000172391,0.0,0.0,-0.03543569941121259,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.01957329624050828,0.030006727645027823,0.02735348041005853,0.03932649410548922,
90,0,max_steps,1,0,0,-4.972680951608569,2500,,,0.9559867233356352,0.1,0.0012140352046117187,0.8601973056793213,-11.556714057922363,107.41900634765625,0.0,0.02731904839110566,35,-4.999999999999671,0.0,0.0,0.0,-0.0019890723806434275,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.023596137998474515,0.02380060954037575,0.02871037700518446,0.03726223494353175,
100,0,crash,1,0,1,-151.45735465147578,2439,,,0.951217530242334,0.1,0.0023235033731907606,1.0029017925262451,-14.031822204589844,119.32760620117188,0.0,3.320962742055175,805,-4.877999999999685,-69.90031739353098,-80.0,0.0,-0.06209813638846896,{1: 243},{1: 243},{1: 243},{1: 243},{},{},{},{},0.02495569302969528,0.029229911765866135,0.032462263752442336,0.045643274803370146,
