ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10,0,max_steps,1,0,0,-6.006304747941589,2500,,,0.9950112350131176,0.1,-0.0013230370823293924,0.07448771595954895,-8.994993209838867,0.04302950203418732,0.0,0.2973343113495591,280,-4.999999999999671,-1.303639059291428,0.0,0.0,-0.0024025218991766354,"{5: 243, 6: 7}","{2: 52, 1: 66, 0: 132}",{1: 250},{1: 250},{1: 250},{1: 250},0.007615719304823031,0.014846033474921813,0.010194984344399595,0.013543765754239547,0.02100779143676338,0.028591528740126534,0.02733675872799811,0.029388973447653136,,,,
20,0,max_steps,1,0,0,-108.90979534110056,2500,,,0.9900473578023296,0.1,-0.002438642317429185,0.11201217025518417,-8.994993209838867,0.04302950203418732,0.0,0.6803645984220619,528,-4.999999999999671,-104.59015993952282,0.0,0.0,-0.04356391813644023,"{4: 109, 5: 141}","{3: 77, 2: 45, 1: 41, 0: 87}",{1: 250},{1: 250},{1: 250},{1: 250},0.00536440426129239,0.018980439868662633,0.007337575627611034,0.009340227193244737,0.01890036518606366,0.03161326300625668,0.025173482786564342,0.027736357215407806,,,,
30,0,crash,1,0,1,-180.03323598237156,2495,,,0.98510824420837,0.1,-0.0023353584110736847,0.3274868130683899,-18.20942497253418,56.588531494140625,0.0,0.0,0,-4.9899999999996725,-95.04323598237173,-80.0,0.0,-0.07215760961217298,{5: 249},"{1: 6, 0: 243}",{1: 249},{1: 249},{1: 249},{1: 249},0.0044847614736724635,0.020283076649187114,0.006107801957461707,0.008783113121154889,0.011651295633160585,0.030062556410973006,0.015548440619213118,0.018421825144592955,,,,
40,0,max_steps,1,0,0,-55.049676945819265,2500,,,0.9801937706913741,0.1,-0.003229769878089428,0.33065569400787354,-12.81006908416748,56.588531494140625,0.0,0.0019014878124029577,10,-4.999999999999671,-50.05157843363181,0.0,0.0,-0.022019870778327705,"{3: 157, 4: 93}","{2: 17, 1: 48, 0: 185}",{1: 250},{1: 250},{1: 250},{1: 250},0.006771779184332064,0.018330423117514153,0.007648970789287964,0.010862226925152506,0.018648026522822336,0.03040151367872753,0.02592228919462201,0.029845514314850153,,,,
50,0,max_steps,1,0,0,2.4240950749470658,2500,,,0.9753038143277888,0.1,-0.001991675700992346,0.46502724289894104,-13.305678367614746,71.02430725097656,0.0,7.424095074946985,1269,-4.999999999999671,0.0,0.0,0.0,0.0009696380299788263,"{1: 200, 2: 50}","{4: 14, 3: 142, 2: 91, 1: 3}",{1: 250},{1: 250},{1: 250},{1: 250},0.0068969660538737735,0.012635356392190515,0.009971390517600404,0.01315686066988705,0.027994986953927048,0.022499025800226093,0.03440858226794599,0.04694710866993395,,,,
60,0,max_steps,1,0,0,-53.91502534512993,2500,,,0.9704382528072976,0.1,-0.0033465393353253603,0.4262574017047882,-16.04878044128418,32.445858001708984,0.0,0.07774881215039942,64,-4.999999999999671,-48.9927741572805,0.0,0.0,-0.021566010138051973,"{1: 199, 2: 51}","{1: 5, 0: 245}",{1: 250},{1: 250},{1: 250},{1: 250},0.006106383806727351,0.018899306222998284,0.009107639447122593,0.009484740660362864,0.015343774432605055,0.030120337956141198,0.01924748318168459,0.025549888945239428,,,,
70,0,max_steps,1,0,0,-19.69947273251272,2500,,,0.9655969644297613,0.1,-0.004006587900221348,0.5384511351585388,-18.050121307373047,75.93865966796875,0.0,0.7714706167961244,276,-4.999999999999671,-15.470943349309032,0.0,0.0,-0.007879789093005088,"{4: 7, 5: 243}","{3: 62, 2: 52, 1: 57, 0: 79}",{1: 250},{1: 250},{1: 250},{1: 250},0.005650800864495658,0.017531426250932035,0.008414991288302818,0.009875283803697697,0.014498147376570288,0.029291981011363988,0.01818608331912659,0.02260922847912447,,,,
80,0,max_steps,1,0,0,-25.36644171324811,2500,,,0.9607798281021742,0.1,-0.004699460230767727,0.548204779624939,-17.8367919921875,75.93865966796875,0.0,0.5027716259060566,198,-4.999999999999671,-20.86921333915443,0.0,0.0,-0.010146576685299245,"{5: 27, 6: 223}","{2: 26, 1: 49, 0: 175}",{1: 250},{1: 250},{1: 250},{1: 250},0.00804209233788681,0.018733620587552985,0.012735541417238316,0.015425237537027445,0.017186205786685164,0.027698908176556427,0.028733137369850337,0.03931482363632984,,,,
90,0,max_steps,1,0,0,-10.234977839090908,2500,,,0.9559867233356352,0.1,-0.005330937448889017,0.552768349647522,-18.08015251159668,75.93865966796875,0.0,1.7552041910666625,352,-4.999999999999671,-6.990182030157674,0.0,0.0,-0.004093991135636363,"{2: 247, 1: 3}","{3: 38, 2: 77, 1: 43, 0: 92}",{1: 250},{1: 250},{1: 250},{1: 250},0.0075897521543899175,0.017674543601485047,0.010433742306895356,0.00972307371238063,0.01644668458594174,0.026278293193558195,0.02198239481944888,0.026280474193536994,,,,
100,0,max_steps,1,0,0,-40.42954217155422,2500,,,0.951217530242334,0.1,-0.006288247182965279,0.5678682327270508,-19.33464813232422,75.93865966796875,0.0,0.41474163728404123,242,-4.999999999999671,-35.844283808838505,0.0,0.0,-0.016171816868621687,"{5: 238, 6: 12}","{2: 27, 1: 51, 0: 172}",{1: 250},{1: 250},{1: 250},{1: 250},0.0077192689134504885,0.019539886806033892,0.010876464962712839,0.011564682724900289,0.017741627627944758,0.03311391925792488,0.02197075156231884,0.02219518085695131,,,,
