ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10,0,max_steps,1,0,0,5.935083861434893,2500,,,0.9950112350131176,0.1,-0.0018568608211353421,0.10004674643278122,-10.139055252075195,0.06289909780025482,0.0,10.935083861434688,1651,-4.999999999999671,0.0,0.0,0.0023740335445739573,{4: 250},"{5: 67, 4: 74, 3: 109}",{1: 250},{1: 250},{1: 250},{1: 250},0.014172782113855937,0.015119504316180449,0.020752746988302692,0.020976597118919034,0.027581349075710995,0.023393946888601722,0.0386152297782361,0.04215897015535054,0.010505218701885085,0.022102458962267382,0.03780809770225941,0.03359269389314123
20,0,max_steps,1,0,0,-49.326297883967975,2500,,,0.9900473578023296,0.1,-0.0027692171279340982,0.10853267461061478,-12.537094116210938,0.046957165002822876,0.0,2.1406015276930885,750,-4.999999999999671,-46.46689941166109,0.0,-0.01973051915358719,{4: 250},"{4: 24, 3: 109, 2: 42, 1: 52, 0: 23}",{1: 250},{1: 250},{1: 250},{1: 250},0.008718400271703536,0.019447820008519037,0.013671129802019791,0.018113133319840977,0.01950854144100607,0.030430702731272588,0.02634777660306654,0.028392508150726293,,,,
30,0,max_steps,1,0,0,-45.97402576218379,2500,,,0.98510824420837,0.1,-0.002715038601309061,0.19029560685157776,-9.499866485595703,27.917156219482422,0.0,0.001929337729403291,7,-4.999999999999671,-40.97595509991344,0.0,-0.018389610304873516,{5: 250},"{1: 70, 0: 180}",{1: 250},{1: 250},{1: 250},{1: 250},0.0026704940039430397,0.018659709530726855,0.005203877106774826,0.011407221652424453,0.016679867034183574,0.027756190303152177,0.02721929603268746,0.03294054637376562,,,,
40,0,max_steps,1,0,0,-27.077399368163228,2500,,,0.9801937706913741,0.1,-0.002869310090318322,0.31829842925071716,-12.402217864990234,56.8448486328125,0.0,0.8090742020559483,497,-4.999999999999671,-22.886473570219373,0.0,-0.01083095974726529,"{5: 240, 6: 10}","{4: 21, 3: 85, 2: 52, 1: 75, 0: 17}",{1: 250},{1: 250},{1: 250},{1: 250},0.006887912839463118,0.019612908504308184,0.009418773450823602,0.009334374847626234,0.017463088109202683,0.02919571007331802,0.02075521310063735,0.01983979952954622,,,,
50,0,max_steps,1,0,0,-17.828951205008096,2500,,,0.9753038143277888,0.1,-0.003290038090199232,0.3820098042488098,-12.402217864990234,61.75815200805664,0.0,0.2195969363335437,293,-4.999999999999671,-13.048548141341891,0.0,-0.007131580482003239,"{1: 38, 2: 212}","{2: 17, 1: 52, 0: 181}",{1: 250},{1: 250},{1: 250},{1: 250},0.008195681150028205,0.017588064044418945,0.01363209923908333,0.016696998693954496,0.023960092186464815,0.026265225774948078,0.03436505595129727,0.03563741277314366,,,,
60,0,max_steps,1,0,0,-59.984060117800645,2500,,,0.9704382528072976,0.1,-0.002383774844929576,0.5451465249061584,-12.837703704833984,69.89632415771484,0.0,3.91407731632406,1083,-4.999999999999671,-58.89813743412467,0.0,-0.023993624047120257,{4: 250},"{5: 21, 4: 58, 3: 94, 2: 41, 1: 36}",{1: 250},{1: 250},{1: 250},{1: 250},0.010131305211059729,0.02026492278971681,0.01277618729480173,0.012455077544969415,0.02213034689740193,0.028588724785593173,0.030107955840531317,0.03655397559792651,,,,
70,0,max_steps,1,0,0,-29.953001874169612,2500,,,0.9655969644297613,0.1,-0.0020778693724423647,0.6228628754615784,-10.207037925720215,91.86041259765625,0.0,5.343965765914298,906,-4.999999999999671,-30.296967640084013,0.0,-0.011981200749667844,"{1: 64, 2: 186}","{3: 117, 2: 33, 1: 40, 0: 60}",{1: 250},{1: 250},{1: 250},{1: 250},0.007485445787449255,0.017371937273012943,0.009941966821097329,0.012592059437733257,0.020136106403570872,0.029452724891443644,0.028818318229390207,0.033637418112407114,,,,
80,0,max_steps,1,0,0,-54.00431829704893,2500,,,0.9607798281021742,0.1,-0.0031455124262720346,0.5633165240287781,-17.766260147094727,45.195926666259766,0.0,0.0036751007485624765,7,-4.999999999999671,-49.00799339779772,0.0,-0.021601727318819573,{4: 250},"{1: 38, 0: 212}",{1: 250},{1: 250},{1: 250},{1: 250},0.00576884096863758,0.01882023019451986,0.008574350290852413,0.011487252224273705,0.01693156473625282,0.027115367380206278,0.028130742598407955,0.02948572336304774,,,,
90,0,max_steps,1,0,0,-9.499591027571038,2500,,,0.9559867233356352,0.1,-0.004125751089304686,0.5719981789588928,-17.766260147094727,45.195926666259766,0.0,5.169204031605579,1086,-4.999999999999671,-9.668795059176752,0.0,-0.003799836411028415,"{5: 216, 4: 34}","{5: 18, 4: 55, 3: 112, 2: 56, 1: 9}",{1: 250},{1: 250},{1: 250},{1: 250},0.007946138834847537,0.018154360613158987,0.007956303043127985,0.010779762796958015,0.02235215729337997,0.02641589155561022,0.028928113265568933,0.031206971635324245,,,,
100,0,crash,1,1,1,361.77112744113685,2287,629.0,629.0,0.951217530242334,0.1,-0.0041773454286158085,0.6807861924171448,-20.122955322265625,88.53253173828125,500.0,3.93271232392898,769,-4.5719999999997185,-57.58958488278245,-80.0,0.1581858886931075,"{3: 47, 2: 15, 6: 158, 5: 8}","{4: 24, 3: 70, 2: 34, 1: 52, 0: 48}",{1: 228},{1: 228},{1: 228},{1: 228},0.006558767007951627,0.023301499942119108,0.01028208658796034,0.011413451002749058,0.019760171373836975,0.03223855722822774,0.026016458269114556,0.027897752687740165,0.026483862628728302,0.024823875571991977,0.03631620586492061,0.033335518175752164
